Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
SOLIDWORKS: Designing Bearings,"Bearings are an amazing innovation in mechanical engineering. They can ensure that a part rotates or slides the way you want it to, and can ensure that parts don't move in directions they shouldn't. They can reduce friction, saving energy in your design. In this course, mechanical engineer and certified SOLIDWORKS expert Ryan Krawchuk teaches you the fundamentals of bearings, and models a series of different mechanical bearings, creating complex and dynamic multipart assemblies that behave as they would in the real world. Ryan covers three types of bearings—ball, roller, and spherical bearings—and shows how to design their constituent parts in SOLIDWORKS and combine those parts into a final bearing assembly.",Course,2022-08-20 08:28 UTC,N/A,false,N/A,
Motivating and Engaging Employees,"Employees don't work for companies. They work for people. Which means employee engagement begins and ends with the leader. Your leadership style directly impacts engagement in your organization. Why does it matter? Higher engagement leads to greater productivity, customer loyalty, employee retention, and profits. In this course you can learn what employees need in order to do their best work and how to provide them with purpose, meaning, and control. Talent maximizer Roberta Matuson busts common myths about employee motivations and shares practical way to increase engagement—including low-cost solutions to show employees they are valued and relationship-building strategies that will lead to lifelong connections with the members of your team.",Course,2021-02-22 18:57 UTC,N/A,false,N/A,
Writing Like the Greatest Masters of Persuasion,"<p>Strong writing is foundational to your career–regardless of your position. If you have a great idea, but can’t communicate it effectively, nothing happens. And the better you write, the better you’re perceived! In this audio-only course, Carmine Gallo shares practical wisdom to help your writing connect and convince.
</p><p>
Carmine Gallo is a Harvard instructor who has written several bestselling books on communication including <i>The Bezos Blueprint: Communication Secrets of the World’s Greatest Salesman</i> and <i>Talk Like TED</i>.

</p><p>
Carmine starts with universal principles such as using the active voice, putting your bottom line on top, and writing for an eighth-grade audience. He also reveals an easy way to simplify complexity and provide context to make data more impactful. Finally, he shows how to use advanced tools such as metaphors, restraints, and writing software.</p>
<p>This course was created by Pete Mockaitis of <a href=""https://awesomeatyourjob.com/"" target=""_blank""><i>How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.</p>
<img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAIBpAic0FsSvQXaA8NB7qnVcIw.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%"" />",Course,2024-07-31 22:52 UTC,N/A,false,N/A,
Critical Thinking for Better Judgment and Decision-Making,"The pace of change and volume of information we encounter in daily life make it hard to think through decisions. Instead, people often rely on biases and rules of thumb, which trap them into drawing faulty conclusions. The most successful teams use critical thinking—objective and rational analysis—to illuminate the wisest conclusions. This course prepares leaders to hone the critical thinking skills of their entire organization. Learn how to upgrade critical thinking to avoid deceiving fallacies, spot misleading cognitive biases, craft better arguments, hone judgment, and improve decision-making. Instructor Becki Saltzman teaches skills that will improve how your company or team innovates, tackles challenges, and responds to change.",Course,2021-01-01 12:58 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2020-12-17 19:02 UTC,N/A,false,N/A,
DIY Filmmaking Tips Weekly,"Do you have big filmmaking dreams but lack the Hollywood budget? By diving into the world of DIY filmmaking, you can make your film dreams come true. Ash Blodgett is an award-winning indie film director who wants to help you achieve your filmmaking goals—without going bankrupt. Learn how to format a screenplay, create an effective shot list, make a budget you can stick to, build your own props, keep your shoots running smoothly, and much more. Ash helps you find creative and low-cost solutions to a variety of problems, and shares time-saving workflows that will free up more time for what you love best: making movies.",Course,2024-01-22 18:23 UTC,N/A,false,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2020-12-08 13:02 UTC,N/A,false,N/A,
IT and Cybersecurity Risk Management Essential Training,"If you work in IT risk management, you already know that one of the biggest challenges you face is the fact that you have limited resources to manage seemingly unlimited risk. So, how can you use your limited resources to reduce your greatest IT risks down to an acceptable level? To do that you need to understand what IT risk management really is and how it works in practice. In this course, information security expert Kip Boyle teaches how to set your organization up for success so they can stay in control of their data and systems. Kip imparts knowledge that will help deliver solid results with confidence and clarity, no matter the size of your company or the size of your budget. As he shows, if you do IT risk management well, you’ll have no trouble complying with cybersecurity laws, regulations, and customer requirements that require you to take a risk-based approach to protecting your digital assets.",Course,2023-06-30 15:37 UTC,N/A,false,N/A,
8 Things You Must Know in Python,"There are many beginner Python tutorials, but to build useful applications, you need to move beyond the basics. This course helps you on the journey to writing intermediate-level Python code. Instructor Jonathan Fernandes presents eight things that you should know how to do in Python. Topics include the Python any() and all() methods, using enumerate() and zip() methods, min() and max(), and more. For each topic, Jonathan provides a hands-on approach and then gives you a CoderPad challenge (with solutions) to practice.
<br><br>
Note: This course was created by Jonathan Fernandes. We are pleased to host this training in our library.",Course,2021-05-25 13:45 UTC,N/A,false,N/A,
Career Advice from Some of the Biggest Names in Business,"What if you could get career advice from the world's most influential thinkers, leaders, and innovators? People who have run the top companies, created the most beloved brands, transformed industries, and changed the world? Now you can. This course brings together the best insights from our collection of interviews with LinkedIn Influencers. CEOs such as Richard Branson, Bill Gates, Indra Nooyi, and Meg Whitman reveal what it takes to get your foot in the door and then work your way up. Discover why Starbucks founder Howard Schultz thinks that conviction is so critical, how Oprah found her vision, and what actress Priyanka Chopra does to find the next challenge. Each interview provides short and thoughtful tips you can use to propel your own career in the right direction.",Course,2020-12-18 21:09 UTC,N/A,false,N/A,
Virtual Production Foundations,"Looking to ramp up your production skills and put them to use in a virtual environment? In this course, video production expert Noah Kadner introduces you to the most important and commonly used technologies and techniques for professionally crafted, virtual video production.<br><br>Explore production fundamentals such as green screen and LED volumes, key optical concepts, camera frustum, rear projection, tracking, cinema lighting, and pixel mapping. Ian takes you through a step-by-step overview of a basic pre-production workflow, covering previs and techvis, storyboarding with virtual cameras in game engines, creating highly realistic assets with photogrammetry, and much more. Along the way, get tips for professional-looking on-set film shoots and live compositing, regardless of your background or current skill level.",Course,2022-12-14 19:51 UTC,N/A,false,N/A,
Practice Exam 2 for Certified Information Security Manager (CISM),"<p>This practice exam is intended to help you prepare for the <b>Certified Information Security Manager (CISM)</b>certification exam. After you launch the practice exam, there are three practice modes available; timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p>

<p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>

<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-1-for-certified-information-security-manager-cism"" target=""_blank""><i>Practice Exam 1 for Certified Information Security Manager (CISM)</i></a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-3-for-certified-information-security-manager-cism"" target=""_blank""><i>Practice Exam 3 for Certified Information Security Manager (CISM)</i></a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-4-for-certified-information-security-manager-cism"" target=""_blank""><i>Practice Exam 4 for Certified Information Security Manager (CISM)</i></a></li>
</ul>

<p><b>About the certification</b>: To learn more about this certification, visit <b><a href=""https://www.isaca.org/credentialing/cism"">Certified Information Security Manager (CISM)</a></b>.</p>

<p><i>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self-assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</i></p>",Course,2024-11-29 01:01 UTC,N/A,false,N/A,
Learning Conversion Copywriting,"Conversion copywriting teaches you how to write compelling marketing copy that converts online prospects to customers. This course walks you through all the basic steps of conversion copywriting. Instructor Joanna Wiebe begins by teaching you how to think about conversion rate optimization from a strategic perspective, and then goes into the three steps of the conversion copywriting process. Joanna teaches you how to borrow messages from customers, including how to define, find, and research the voice of the customer (VOC). She explains how to find the what and how in your VOC, then what to do with your VOC. Next, she takes you through how to use proven frameworks to organize messages on a page, as well as how to write a first draft for web and email copy. Once your first draft is complete, Joanna shows you how to use copywriting formulas to increase the persuasive power of your headlines. Plus, learn how to make conversion copywriting an ongoing practice.",Course,2021-03-16 15:06 UTC,N/A,false,N/A,
How to Use Generative AI: Building an AI-First Mindset,"<p>Creating real impact with AI means understanding what generative AI is capable of today—and using that knowledge to stay ahead of future developments. Regardless of your industry, role, and experience, AI can transform your personal and professional development. If you want to learn how to unlock your full potential with AI, this course is for you.
</p><p>
In this course, AI thought leader, advisor, and investor Allie K. Miller provides her insights and guidance on how to thrive in the AI age. She shares real-world examples of generative AI tools in action, as well as her most-used framework to leverage AI to generate added value. Learn how to seamlessly integrate AI into your workflows, enhancing both individual and team productivity. Get the knowledge and tools to use AI for strategic planning, decision-making, and creative problem-solving. By adopting an AI-first mindset, you’ll be better prepared to future-proof your career and lead AI-driven transformations within your organization.",Course,2024-08-05 05:46 UTC,N/A,false,N/A,
ISO 27001:2013-Compliant Cybersecurity: Annex A Controls,"The Annex A controls in the ISO 27001 standard are used by organizations around the world to improve their information security programs and demonstrate good security practices to others. In this second part of his two-part ISO 27001 course, instructor Marc Menninger provides a comprehensive overview of all 114 security controls in Annex A of the ISO 27001 standard. You can use this knowledge to build a better security program and prepare for compliance with the ISO 27001 standard. This course includes handy documents with recommended ways to demonstrate compliance with ISO 27001, providing you with tools you need to get started on implementing the controls to build an ISO 27001-compliant cybersecurity program.
 <br><br>
Note: It is recommended that you start with part one, Building an ISO 27001-Compliant Cybersecurity Program: Getting Started, which includes background information and compliance requirements you need to know if you're serious about building an ISO 27,001-compliant cybersecurity program.",Course,2022-09-19 19:26 UTC,N/A,false,N/A,
Learning Personal Branding,"You are the most powerful marketing tool at your disposal. If you are starting a business, establishing your thought leadership, or trying to get ahead in your career, it's a great time to start investing in the brand of you. Learn the secrets of personal branding in this course with marketing expert Chelsea Krost. Chelsea explains how to develop your story, craft your messaging, and define your audience. Then she walks you through building your brand presence online and off, creating a calendar that will help you stay on top of social media and keep your content fresh. Plus, get tips to monetize your personal brand and land speaking engagements and guest roles.",Course,2020-12-16 18:52 UTC,N/A,false,N/A,
Cold Calling Mastery,"Cold calling is a powerful way to generate sales and leads. However, picking up the phone to sell to a stranger can be daunting. Using this course, you can learn how to do cold calling the right way. Sales professional and prospecting coach Miles Croft offers practical tips and tricks to identify what is truly important to your lead, stay motivated and track your targets, structure a call, overcome rejection or objections, and get the most out of technology. The lessons are tailored to be practical, easy, and fun, so you’ll be ready to get started right away testing out your new skills. No more fear of picking up the phone, or wondering why leads aren’t buying. After this course, you will look forward to calling new customers—and get the satisfaction of hearing a “yes.”<br><br>

This course was created by Miles Croft. We are pleased to host this training in our library.",Course,2021-03-01 16:04 UTC,N/A,false,N/A,
Mandarin for Absolute Beginners,"<p>Brand new to Chinese? This course is a simple but comprehensive audio course designed to be the easiest way to start learning and speaking Mandarin Chinese. Learning Chinese can be easy or hard, and it all depends on <em>how</em> you start. Start the hard way (reading grammar and memorizing words), and you’ll quickly think, “Languages are just not my thing.” Start easy, and you’ll be shocked by how much Chinese you’ll learn. Learn from real native speakers to get accustomed to the flow of Chinese—which you won’t get from Apps and textbooks. Hear everyday conversations to learn practical dialogue. And start speaking everyday Chinese–the kind you would hear and use in China–from your first lesson.
</p><P>This course also includes a PDF that covers everything from the audio tracks and much more.
</p><P>
This course was created by InnovativeLanguage.com. We are pleased to host the course in our library.",Course,2024-11-18 17:28 UTC,N/A,false,N/A,
Organizing Your Remote Office for Maximum Productivity,"Working remotely gives you amazing freedom, but how you set up your office makes all the difference. To maximize your productivity, you need to be able to easily transition from home life to work life and back again. From setting up your physical space to managing your digital life, author and productivity expert Paula Rizzo can help you get more done when working remotely. Learn to harness your personal productivity style to create an intentional workspace; adapt any room, regardless of size; choose the right equipment and technology; present better during video meetings; organize your documents and files; and set boundaries with those you share space with. Plus, learn to plan ahead to take your workspace on the road—wherever business takes you.",Course,2021-01-26 14:24 UTC,N/A,false,N/A,
Learning Go,"What is Go? Go is a next-generation, open-source programming language created by Google for building systems, web, and other applications. This course is designed to help developers get started with Go, covering its core language elements and syntax. David Gassner introduces tools and skills used in a Go workflow—including Go Playground, an online tool that takes Go development off the desktop. He also covers basic programming tasks: managing values, using math operators, storing values as complex types, and managing program flow. Plus, learn how to create reusable Go code, read and write files, and make simple web requests.

<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2024-10-30 08:57 UTC,N/A,false,N/A,
Building a Superstar Brand,"Ever wondered what it takes to create your own brand and become a superstar along the way? Explore the value of storytelling, vision, and commitment in this course with World Wrestling Entertainment (WWE) chief brand officer Stephanie McMahon, as she shows you how to lead by example and leave a legacy in your wake. Learn key lessons from Stephanie’s hard-earned experiences and colorful tales of growing up in an entrepreneurial culture. The course shares valuable lessons on how to scale superstar partnerships, create a rich DEI culture, and build powerful fan relationships. Discover proven leadership strategies and tips that you can apply to your own venture or job. Throughout the course, Stephanie looks back on the sacrifices her parents made back when they were first promoting the WWE, growing it from nothing to superpower status, and inspiring millions around the world.<br><br>Note: This course was created by genconnectU. We are pleased to host this training in our library.",Course,2023-06-30 10:27 UTC,N/A,false,N/A,
Satellite Internet and Communications: Fundamentals,"As the need to be connected becomes increasingly necessary in the modern world, satellite internet and communications have become a key part of global telecommunications infrastructure. Unlike cellular service, satellite communications services can provide service anywhere on earth, including hard-to-reach and underserved areas. In this course, Ryan Hu covers the fundamentals of modern satellite communications and the new opportunities this technology makes possible. He explores the principles, architectures, and emerging technologies of satellite communications and networks with easy-to-understand, real-world examples. If you’ve ever wondered how satellite and internet communications work, join Ryan to learn about the future trends for next-generation telecommunications.",Course,2022-10-05 09:17 UTC,N/A,false,N/A,
Developing Self-Awareness,"While a multitude of factors can go into the making of a successful person, nearly all individuals who achieve high levels of personal and professional success have a keen sense of self-awareness. In this course, learn how to become more self-aware in order to develop yourself personally and enhance career progression. Organizational psychologist Gemma Roberts helps you learn how to develop your self-awareness so that you can understand how others see you, and better align your actions with your intentions. She explains how to identify beliefs to enhance self-awareness, step outside of yourself to gain a different perspective, leverage a self-awareness action plan, and more.",Course,2023-04-14 09:19 UTC,N/A,false,N/A,
Advanced Python: Working with Databases (2020),"To create functional and useful Python applications, you need a database. Databases allow you to store data from user sessions, track inventory, make recommendations, and more.  However, Python is compatible with many options: SQLite, MySQL, and PostgreSQL, among others. Selecting the right database is a skill that advanced developers are expected to master. This course provides an excellent primer, comparing the different types of databases that can be connected through the Python Database API. Instructor Kathryn Hodge teaches the differences between SQLite, MySQL, and PostgreSQL and shows how to use the ORM tool SQLAlchemy to query a database. The final chapters put your knowledge to practical use in two hands-on projects: developing a full-stack application with Python, PostgreSQL, and Flask and creating a data analysis app with pandas and Jupyter Notebook. By the end, you should feel comfortable creating and using databases and be able to decide which Python database is right for you.",Course,2021-04-11 11:15 UTC,N/A,false,N/A,
Entrepreneurship Foundations,"Join Kim Kaupe as she shares the steps to becoming a successful entrepreneur. Kim begins by providing a set of tools to assess a potential business opportunity, outlines some of the challenges you might face, and offers a formula for starting small and creating your new company. She covers how to raise funds and the importance of having the right tools available. She also identifies the important people in the process of entrepreneurship and how each plays a powerful role in your success. Finally, Kim shares how to find a tribe of supporters and how to scale your new business.",Course,2020-11-27 16:07 UTC,N/A,false,N/A,
Nano Tips for Peak Performance with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, find out how to supercharge your performance, exploring key insights and techniques from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Learn how to optimize your brain power, habits you can establish for success, and how you can set up a commitment to excellence to level up your career and performance for the long term.",Course,2024-11-25 20:54 UTC,N/A,false,N/A,
Cloud Governance Concepts: Tools and Requirements,"If you’re ready to dive into the fundamentals of cloud governance and its relation to security, this course offers a great place to start. Internationally known enterprise technology thought leader David Linthicum explores governance tools, showing you how to identify their requirements and select the tools that will best meet your needs. In addition, David explains how to approach cloud governance, including a process for deploying cloud governance within your own projects.",Course,2024-08-16 01:32 UTC,N/A,false,N/A,
Ecommerce with Facebook and Instagram,"Facebook and Instagram are both powerful platforms to leverage for your ecommerce business. In this course, ecommerce and social media expert Sam Dey succinctly shares how to build your product catalogs and set-up your ecommerce accounts in both platforms. Sam covers topics like uploading and optimizing catalogs in Facebook Ads Manager, improving your chances for conversions, using Instagram for ecommerce, and leveraging both Facebook Shop and Facebook Marketplace for your ecommerce business.",Course,2023-03-18 19:16 UTC,N/A,false,N/A,
Foundations of Algorithmic Thinking with Python,"The word “algorithm,” at one time the sole province of mathematics and computer science, has entered the modern vernacular because, for better or worse, algorithms have never been more important or more impactful in daily life. If you’re a developer, you need to be familiar with a wide range of algorithmic thinking in order to be able to solve new problems as they present themselves. If you’re already familiar with Python, becoming more versed in algorithmic thinking is a great way to increase your value as a developer. In this course, Robin Andrews explains how Python, because of its clarity and expressiveness, is the ideal tool for exploring algorithmic thinking. He shows you tools to help you understand the flow of algorithms, explains the brute force approach to solving algorithms, details the concepts of time and space complexity with regard to algorithm analysis, the decrease and conquer strategy, and much more.",Course,2022-06-30 15:12 UTC,N/A,false,N/A,
Sheryl Sandberg and Adam Grant on Option B: Building Resilience,"Dodging adversity is often not a choice. Encountering a devastating event—the gut-wrenching kind that zaps away joy—is an inevitability of life. In their <em>New York Times</em> best-selling book <em>Option B: Facing Adversity, Building Resilience, and Finding Joy</em>, Facebook COO Sheryl Sandberg and Wharton psychologist Adam Grant share their insights on building resilience in the face of such setbacks. They offer practical steps you can take to reimagine and rebuild your life when your first choice—your Option A—is no longer on the table, and you're faced with the task of making the absolute best of Option B. This course highlights some of the powerful topics in this book, including how to talk to friends and colleagues who are hurting when you're not sure what to say, how to fight the idea that the hurt you're feeling is permanent, and how to give yourself permission to experience happiness again.<br><br> For additional resources and support, check out <a href=""https://optionb.org/"" target=""_blank""> OptionB.Org</a>, a nonprofit initiative dedicated to helping individuals build resilience in the face of adversity.",Course,2020-12-09 21:28 UTC,N/A,false,N/A,
Nano Tips for Effective Sponsorship As a Leader with India Gary-Martin,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, India Gary-Martin offers tips and considerations when becoming a sponsor in leadership. Learn best practices for becoming a sponsor, how to give and receive the most benefit from sponsorship, and more.",Course,2024-12-10 08:31 UTC,N/A,false,N/A,
JavaScript: Closures,"<p><b>Suggested prerequisites</b></p>
<ul>
<li>Familiarity with JavaScript programming</li>
</ul>
<p>Closures—a core concept for intermediate and advanced JavaScript developers—can be challenging for many developers to wrap their heads around. In this concise course, Sasha Vodnik breaks down this essential concept, explaining what closures are and how to use them in JavaScript.</p>",Course,2022-09-03 18:29 UTC,N/A,false,N/A,
Guy Kawasaki on How to Rock Social Media,"Entrepreneur and social media expert Guy Kawasaki—who has 1.4 million Twitter followers and more than a quarter million likes on Facebook—shares his experience and knowledge about how to be successful on social media for personal and professional branding. He offers profile optimization tips, discusses great techniques for crafting and distributing shareable content, explores how to best engage with fans and followers, provides tips specific to each major social media platform, and explains how to best integrate social media with a blog.",Course,2020-12-28 20:47 UTC,N/A,false,N/A,
Human Resources: Payroll (2021),"Payroll is a core function in HR. Complex tax and labor laws can make it seem daunting, but with the right tools and techniques, your payroll can function like a well-oiled machine. This course teaches HR professionals how to set up and administer a payroll system. HR consultant Gabriella Parente-Neubert covers 13 of the most common payroll topics, including classifying workers, understanding exempt vs. nonexempt employees, retaining records, and picking a payroll system. She also reviews details such as paying sick and vacation time, understanding the role of benefits in compensation, and processing final wages as the result of termination. Using her guidance, you'll be able to build a successful payroll system that ensures employees are paid correctly and punctually every time.",Course,2020-12-20 22:04 UTC,N/A,false,N/A,
Amplify Your Critical Thinking with Generative AI,"Join critical thinking expert Becki Saltzman as she explores techniques and strategies to amplify your critical thinking skills with generative AI. In this course, Becki shows you how to identify potential biases in generative AI as well as biases in your own thinking. Learn how to apply a critical thinking framework for using generative AI in order to establish a clear purpose, identify the quality of information provided by generative AI—including reliability, relevance, and validity—and write prompts grounded in critical thinking practices. Becki also demonstrates how to use generative AI in order to simulate other perspectives and think more critically about your everyday workflow. By the end of this course, you’ll be equipped with new skills to leverage generative AI to identify assumptions, clarify concepts, and improve conclusions.",Course,2024-10-02 10:52 UTC,N/A,false,N/A,
Increase Customer Loyalty by Doing Agent Experience (AX) Right,"In this course, customer service expert Stacy Sherman shows you how to foster strong frontline worker experience so that your agents and other frontline staff can deliver value and engender customer loyalty. Learn how to identify challenges that impact frontline worker effectiveness. Explore hiring strategies for contact center and other frontline roles, as well as how to build positive relationships with your frontline workers from day one. Find out how to elevate frontline worker performance through intentional training and development and prepare frontline workers for future leadership. This course equips you with a blueprint to connect frontline worker experience to customer experience, so that you're focused on doing right by your teams and your customers.",Course,2024-04-01 13:34 UTC,N/A,false,N/A,
Nano Tips for More Effective Meetings with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, peak performance researcher and behavioral strategist to Fortune 500 companies Shadé Zahrai shares quick tips for running more productive meetings. Shadé explains how to optimize meeting dynamics, maximize individual contributions, and strategically structure meetings for peak performance. Plus, learn how to continuously rate and improve your meetings.",Course,2024-12-02 07:00 UTC,N/A,false,N/A,
LinkedIn Quick Tips,"This collection of LinkedIn quick tip videos is designed to demonstrate helpful tricks, explain useful features, and provide quick answers to the most common questions about how to use LinkedIn. Follow along as LinkedIn staff instructor Oliver Schinkten shares easy ways to improve your profile, grow your network, search for jobs, customize settings, and make the most of LinkedIn. He covers how to connect with individuals and groups, research careers and apply for jobs, update your profile, post original content, improve your feed, and more.",Course,2024-11-10 20:55 UTC,N/A,false,N/A,
Learning Fusion 360,"Learn how to use Autodesk Fusion 360, the cloud-based 3D computer-aided design (CAD), computer-aided manufacturing (CAM), and computer-aided engineering (CAE) application that unifies design, engineering, and manufacturing into a single platform.<br><br>

Instructor Taylor Hokanson gives an overview of the interface, then walks through the modeling, sculpting, and rendering workflows in Fusion 360. Taylor also shows how to import reference images, use the sketching tools, extrude 3D shapes, combine components into assemblies, and render animations that show designs in action. Plus, learn how to sculpt organic shapes by editing T-spline forms.",Course,2022-08-12 18:07 UTC,N/A,false,N/A,
Selling with Empathy during Uncertain Times,"It's only natural that uncertain economic conditions create anxiety for salespeople and buyers alike. But a shift in your focus can help you quiet the fear and show up for customers when they need you most. Join Lisa McLeod as she helps you navigate selling in uncertain times. Lisa and her team have coached hundreds of sales professionals through economic turbulence, product launch failures, and other difficulties. In this course, she provides an empathetic, customer-centric approach to sales that will help you connect with customers, solve their most urgent problems, and identify the most authentic version of yourself. Use these tips to rise to the challenge and turn uncertain times into an opportunity to succeed.",Course,2020-12-13 19:04 UTC,N/A,false,N/A,
Entrepreneurship: Bootstrapping Your Business,"Bootstrapping—starting and growing a business without outside funding—allows founders to play by their own rules. Curious about what it takes to start your own bootstrapped business? Tune into this course to learn how.<br><br>Instructor Kim Kaupe begins by helping you determine whether bootstrapping is the right move for you. She then shows how to create a business plan and set up measurable goals. Once you have your plans in place, she covers fundamentals like managing your cash flow and spending, navigating customer acquisition at a low cost, and creating partnerships with like-minded companies. Plus, learn how your personal spending plays into your growing business, as well as how to prepare friends and family for the potential ups and downs of the entrepreneurial journey. Whether you’re a new business owner or a seasoned entrepreneur looking for new ways to leverage your capital, this course can help you set up your self-funded business for success.",Course,2021-07-29 16:51 UTC,N/A,false,N/A,
Animating in Historical Styles,"Do you create 2D animation or study classic animation styles? In this course, instructor Dermot O’Connor gives professional insights on several historical styles. First, Dermot talks about the differences between a surface style of a period and reproducing the essence of it. Then he goes over the technical factors, animation methods, techniques, and post-production effects for 1920s rubber hose animation. Next, Dermot does the same for 1940’s Looney Toons style animation, 1960s TV animation, and 1980s Saturday morning cartoon animation. He concludes with a thorough comparison of Bluth and Disney animations in the 1970s and 1980s and how you can approach each style.",Course,2021-11-13 13:07 UTC,N/A,false,N/A,
Software Testing Tips Weekly,"As a software tester, it's your job to ensure that your organization ships high-quality, working software to customers. But how can you best communicate the issues you spot to developers and other members of your organization? And what's the best way to approach bug reporting in general? In this weekly series, get fresh insights to enhance both your technical and interpersonal skills as a software tester. Instructor Michael Smith shares best practices for communicating effectively with software developers, as well as how to maximize your presence on your own team. He also shares tips for better bug reports, using personas for testing, working with test data, and more. Tune in each week for a new tip.<br><br>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.",Course,2023-02-20 17:22 UTC,N/A,false,N/A,
Learning Soldering for Electronics,"In an electronic product such as a cell phone, toy, or automobile, electronic components are attached using solder, a metal compound that melts at a low-enough temperature to be able to be worked by hand or machine. Whether you are prototyping a new product, manufacturing a product at scale, or working on a project in your spare time, you will need to learn how to solder in order to create the electrical and mechanical connections that make it all work. In this course, learn about the tools and techniques needed to make great solder connections. Plus, get troubleshooting tips, including how to fix a cold solder joint and repair a mistake in a PCB.",Course,2021-01-16 22:23 UTC,N/A,false,N/A,
"How to Work Smarter, Not Harder: Save Time and Money and Increase Productivity","More and more people are working from home, managing remote teams, and juggling multiple projects. The time is now to learn how to work smarter, not harder. Luckily, today’s technology makes it easier than ever to increase productivity and efficiency. This course is for anyone trying to grow their business or move ahead in their career without becoming overwhelmed. Chelsea Krost provides tangible tips, tools, and techniques to increase overall productivity and give you back precious time in the day. Learn how to embrace the mindset of successful entrepreneurs and small business owners, manage your time effectively, tackle your to-do list, leverage automation and delegation, and power up your social media, content marketing, and branding strategies to direct more attention and traffic to your business. Each tool and workflow has been tested by Chelsea and her clients—and the skills taught apply to any industry. Start watching and working smarter today.",Course,2021-01-25 15:23 UTC,N/A,false,N/A,
Cert Prep: Unity Certified Associate Game Developer Materials and Lighting,"Become Unity certified and show employers you have the Unity skills they are looking for. Improve your chances of landing that dream job doing what you love most—making games, architectural visualizations, or films. This course helps you study for the lighting and materials portion of the Unity Certified Associate: Game Developer exam. Instructor Alan Thorn discusses the basics of creating materials, exploring the main render pipelines in Unity 2020, as well as how to work with both URP and HDRP materials. He also helps you get started with lighting, exploring standard and area lights. Then find out how to boost the performance and efficiency of your Unity projects with light mapping, light probes, and occlusion culling. Plus, learn how to apply post-processing effects such as blur, depth of field, and color correction.",Course,2023-09-22 10:03 UTC,N/A,false,N/A,
Integrating Generative AI into Business Strategy,"You need to make generative AI a part of your business strategy, but where do you begin, and how do you make the best possible use of company resources and employees’ time? In this course, AI adoption strategist Chris McKay presents the USAGE framework, a comprehensive guide for decision makers to understand, assess, and implement generative AI effectively in their organization. You will be equipped with a systematic framework that provides actionable steps and pragmatic recommendations to ensure AI initiatives are strategic, effective, and aligned with the organization’s vision. Explore the importance of investing in AI literacy to gain competitive advantage. Learn how to create a structured approach for assessing your organization’s AI readiness. Plus, find out how to build clear strategies for AI roadmap development, implementation, and performance evaluation.",Course,2024-09-19 00:07 UTC,N/A,false,N/A,
